Sample,label,Parabacteroides,Eubacterium,Gemmiger,Alloprevotella,Ruminococcus,Megasphaera,Blautia,Odoribacter,Butyricimonas,Bifidobacterium,Fusicatenibacter,Dialister,Clostridium_XVIII,Pyramidobacter,Turicibacter,Anaerostipes,Sutterella,Coprococcus,Megamonas,Escherichia/Shigella,Flavonifractor,Intestinibacter,Prevotella,Collinsella,Barnesiella,Haemophilus,Anaerotruncus,Dorea,Roseburia,Phascolarctobacterium,Lachnospiracea_incertae_sedis,Streptococcus,Oscillibacter,Clostridium_XlVb,Clostridium_sensu_stricto,Desulfovibrio,Romboutsia,Clostridium_IV,Bacteroides,Paraprevotella,Veillonella,Akkermansia,Parasutterella,Clostridium_XlVa,Holdemanella,Alistipes,Eisenbergiella,Fusobacterium,Faecalibacterium,Bilophila,Ruminococcus2,Catenibacterium
CRE03,A,7.63677061,0.147029779,0.197502688,0,0.386227478,0.002194474,0.318198775,0.083390024,0.006583423,0.006583423,0.079001075,0.048278435,0.052667384,0.017555795,0.002194474,0.006583423,0.074612127,0.083390024,0.114112664,0.269920341,0.094362396,0.006583423,1.573438082,0.035111589,0.054861858,1.24646141,0.004388949,0.125085036,0.673703615,0.032917114,1.154293489,0.026333692,0.166780048,0.337949045,0.103140293,0.010972371,0.010972372,0.092167921,73.93183964,0.309420879,1.042375299,0.043889486,0.068028704,0.943623956,0.013166846,0.399394325,0.017555795,0.401588799,0.844872611,0.03072264,2.738703943,0.013166846
CR073,A,1.291509058,0.079413179,0.426323379,0.094041922,0.769053935,0,0.499467093,0.236149715,0.018808384,0.08359282,0.160916177,0.38661679,0.062694614,0,0,0.029257486,0.031347306,0.077323358,0.077323358,0.539173685,0.229880253,0.004179641,1.314497083,0.150467075,0.016718564,0.022988025,0.006269461,0.121209588,1.245533008,1.797245616,0.555892249,0.010449102,0.25704792,0.361538943,0.010449102,0.050155692,0.022988025,0.054335332,69.84807005,0.031347307,0.317652714,0.148377254,0.112850306,1.109694676,0.00208982,1.197467137,0.142107793,0.154646716,4.135754739,0.246598817,0.56216171,0
CR082,A,3.594646269,0.053112386,0.458891013,0,0.346292756,0.025493945,0.286806882,0.259188443,0.006373486,0.078606331,0.165710644,0.089228807,0.025493945,0.002124495,0,0.031867431,0.919906522,0.104100276,0.127469726,1.342681113,0.586360739,0.004248991,0.29742936,0.214574039,0.09772679,0.05098789,0.057361377,0.078606331,0.342043765,3.567027831,3.288718928,0.012746973,0.072232844,0.284682388,0.016995962,0,0.053112386,0.016995963,67.38474612,0.703207989,0.05098789,0.065859358,3.093265349,1.083492671,0,1.850435522,0.048863394,0.322923305,1.642234968,0.337794774,0.514127894,0
CR077,A,2.750730793,0.304935753,0.6477256,0.067296166,1.099871715,0.008412021,0.344892851,0.039957099,0.012618031,0.16613741,0.317553784,0.111459275,0.208197515,0.002103005,0.002103005,0.050472124,0.018927047,0.178755441,0.021030052,1.08094467,0.147210363,0.035751088,0.569914405,0.187167463,0.10094425,0.063090155,0.00420601,0.067296166,1.770730374,0.103047254,0.864335133,0.098841244,0.481588189,0.281802694,0.079914197,0.010515026,0.065193161,0.132489326,66.09745326,0.023133057,0.189270467,0.006309015,1.444764568,0.750772854,0,1.308069232,0.006309015,0.035751088,6.986183255,0.187167462,0.407983007,0
CR086,A,2.899648737,0.110200426,0.449985076,0,0.911449365,0.029845949,0.668090088,0.089537847,0,0.305347017,0.321417912,0.360447229,0.032141791,0.013775053,0,0.098721215,0.268613541,0.208921642,0.14463806,1.129554377,0.74155704,0.022958422,0.355855545,0.048212686,0.029845949,0.544114608,0.018366738,0.105608743,0.773698831,2.7182772,0.759923778,0.013775053,0.332897123,1.035424845,0.009183368,0,0.059691898,0.071171109,62.42395022,0.245655119,0.066579424,0.6795693,0.693344353,2.318800651,0,2.070849691,0.08265032,0.190554906,4.274858231,0.204329958,1.724177514,0
CR075,A,0.624985999,0.082883449,0.432337985,0.129925405,0.403216773,0,0.250890437,0.120965032,0.004480186,0.060482516,0.058242423,1.606146816,0.022400932,0.004480186,0,0.033601398,0.029121211,0.076163168,0.069442888,0.67426805,0.116484846,0.026881118,5.102932282,0.620505814,0.026881119,0.41441724,0.011200466,0.038081584,0.448018638,0.230729599,0.533142178,0.008960372,0.120965032,0.515221433,0.116484847,0.026881119,0.042561771,0.008960372,63.89417799,0.040321677,5.925046482,0.649627025,0.042561771,0.53986246,0.00672028,0.188167829,0.00672028,2.710512757,5.517349523,0.156806523,0.114244753,0.013440559
CR087,A,0.993584404,0.068738544,0.312447926,0,0.391601399,0.024995834,0.435344109,0.058323612,0.004165972,0.302032995,0.481169805,0.162472921,0.279120147,0.004165972,0.002082986,0.06457257,0.139560073,0.08748542,0.116647225,0.337443759,0.264539244,0.016663889,0.435344106,0.316613897,0.045825696,0.045825695,0.004165972,0.068738543,0.716547243,0.116647225,0.891518081,0.035410765,0.122896184,0.645725712,0.024995834,0,0.039576737,0.039576737,63.37693717,0.137477088,0.20621563,0.081236461,0.318696883,0.94567572,0,0.274954173,0.058323613,0.016663889,17.02216297,0.093734378,0.774870854,0
CRD01,A,3.984608268,0.132469827,0.25652887,0.004205391,0.97775348,0.006308087,1.29736322,0.115648261,0.010513478,0.010513478,0.254426174,0.063080869,0.60978174,0,0,0.065183566,0.025232348,0.077799739,0.002102696,1.002985828,0.170318348,0.010513478,0.481517306,0.037848522,0.027335043,0.025232348,0.018924261,0.088313218,1.324698264,0.105134783,3.498885572,0.016821565,0.180831828,0.328020523,0.031540434,0.027335043,0.016821565,0.212372261,58.79347324,0.210269566,0.077799739,0.033643131,0.060978174,2.847049917,0.018924261,0.492030783,0.039951217,10.48824593,2.125825309,0.027335044,0.542495479,0
CR083,A,1.220083468,0.087300912,0.300229963,0,1.852482753,0.034068648,0.270419897,0.813388979,0.008517162,0.20654118,0.114981688,1.347840901,0.023422196,0.004258581,0,0.031939358,0.261902734,0.068137297,0.208670471,0.979473639,0.238480538,0.014905034,1.441529683,0.114981688,0.012775743,0.029810067,0.031939358,0.04045652,0.845328337,0.48973682,2.299633762,0.008517163,0.253385573,0.340686484,0.012775744,0.048973682,0.057490844,0.061749425,60.80614939,0.210799762,2.868154332,0.577037731,0.187377566,4.33949408,0,3.093859125,0.994378673,0.114981689,2.384805382,0.568520569,0.445021719,0
CRJ10,A,1.697964198,0.144787645,0.478237978,0,0.45849421,0.037293787,0.644963145,0.100912601,0.002193752,0.258862759,0.655931906,0.092137592,0.03071253,0,0,0.046068796,0.372937873,0.10968761,0.153562653,2.184977185,0.649350649,0.010968761,0.938925937,0.563794314,0,0.098718849,0.013162513,0.265444015,3.187521938,5.238680238,1.671639171,0.030712531,0.114075114,0.304931554,0.028518778,0.035100035,0.026325026,0.092137592,60.27114777,0.004387504,0.221568971,0.098718849,0.098718848,0.783169535,0.006581256,0.759038259,0.010968761,0.118462619,5.115830116,1.331607582,0.919182169,0
